URL,label,URLLength,DomainLength,TLDLength,IsDomainIP,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,Bank,Pay,Crypto,LineOfCode,LargestLineLength,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef
https://searspartsdirect.com,0,28.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,8.596928159435091,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0
https://bbva.es,0,15.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.015662792972645,10.850811726990456,3.6888794541139363,5.313205979041787,3.8501476017100584,5.402677381872279,1.6094379124341003,2.5649493574615367
https://planetwin365.com,0,24.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.5,3.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3978952727983707,4.859812404361672,0.0,0.0,0.0,0.0,0.0,0.0
https://nusatrip.com,0,20.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.17695386822578,7.8713112033234065,4.290459441148391,3.1780538303479458,4.143134726391533,4.543294782270004,0.6931471805599453,2.6390573296152584
https://stb.ua,0,14.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,8.575273402492762,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0
https://smartfren.com,0,21.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,9.193194213141211,0.0,0.0,2.8903717578961645,0.0,0.0,0.0
https://indianyellowpages.com,0,29.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.6896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,4.90527477843843,0.0,0.0,0.0,0.0,0.0,0.0
https://bada.tv,0,15.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.43372200355424,5.986452005284438,0.0,1.6094379124341003,2.302585092994046,2.772588722239781,0.0,0.0
https://commercebank.com,0,24.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6931471805599453,6.7661917146603505,0.0,0.0,0.6931471805599453,0.0,0.0,0.0
https://pradonoticia.com,0,24.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,8.445482343862237,0.0,0.0,0.6931471805599453,0.0,0.0,0.0
https://aeropostale.com,0,23.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3978952727983707,4.6443908991413725,0.0,0.0,0.0,0.0,0.0,0.0
https://fixya.com,0,17.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,8.574329382787047,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0
https://5yi.com,0,15.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3333333333333333,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,4.74493212836325,0.0,0.0,0.6931471805599453,0.0,0.0,0.0
https://finanzaonline.com,0,25.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,8.579792333172758,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0
https://symfony.com,0,19.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.383989457978509,8.569785641535407,0.6931471805599453,2.6390573296152584,2.772588722239781,4.465908118654584,0.0,3.5263605246161616
https://dirtstyle.tv,0,20.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.952966790923131,8.348774539791274,4.23410650459726,1.9459101490553132,2.1972245773362196,4.709530201312334,0.0,0.0
https://pantiesparadise.de,0,26.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.105646300861517,7.1316985104669115,5.087596335232384,0.6931471805599453,2.1972245773362196,6.375024819828097,0.0,1.3862943611198906
https://sagepub.com,0,19.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.370230641807081,8.244071270295786,2.1972245773362196,0.6931471805599453,3.784189633918261,3.6109179126442243,1.0986122886681098,0.6931471805599453
https://freeonlinegames.com,0,27.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.343426229147367,7.410347097821024,5.049856007249537,1.6094379124341003,2.70805020110221,5.673323267171493,0.6931471805599453,0.0
